Time,Stock 0 Ground Truth,Stock 0 Prediction,Stock 1 Ground Truth,Stock 1 Prediction,Stock 2 Ground Truth,Stock 2 Prediction,Stock 3 Ground Truth,Stock 3 Prediction,Stock 4 Ground Truth,Stock 4 Prediction,Stock 5 Ground Truth,Stock 5 Prediction,Stock 6 Ground Truth,Stock 6 Prediction,Stock 7 Ground Truth,Stock 7 Prediction
0,0.0059483917,0.55723524,0.009077152,0.897146,0.002848574,0.6725737,-0.01150628,0.788544,0.00983169,0.7302893,0.014026487,0.72775924,0.016296377,0.8159745,0.0022937667,0.90256786
1,0.029820647,0.55707806,0.02248868,0.8979911,-0.0011183037,0.6751665,0.011640215,0.7871663,0.009915401,0.7306317,0.010985021,0.7126451,-0.0031688085,0.8162867,0.02173886,0.8982828
2,0.031951934,0.55752134,-0.029325793,0.9019096,0.005085762,0.6756464,-0.019175444,0.7869172,0.014101146,0.7308074,-0.006841084,0.7072768,-0.014964611,0.8156101,-0.010078502,0.89660954
3,-0.0026603348,0.5575364,-0.012083791,0.8984357,0.011147826,0.6788437,-0.007820371,0.78535867,-0.004928283,0.7308906,-0.005267253,0.7035848,0.017850574,0.8148991,-0.00226263,0.8961488
4,0.002667431,0.55525446,0.0030572913,0.8956735,0.009159446,0.6812159,0.0049261064,0.7825484,0.0008843029,0.72889,-0.011405141,0.70603555,0.026491784,0.81335175,-0.027210442,0.8950062
5,0.023221463,0.5477726,0.018292682,0.89509237,0.0010087145,0.6849104,0.02254925,0.78173375,0.009720966,0.7279079,0.014833306,0.7034832,-0.11686705,0.81367445,0.018648133,0.88605845
6,0.006856804,0.54795414,0.010479767,0.8956775,0.005372567,0.68722343,0.019175444,0.780903,0.009451689,0.7268164,0.0,0.702344,0.033546604,0.80177826,0.019450344,0.88607156
7,-0.011270773,0.5488715,-0.034074407,0.89690304,-0.00417531,0.69014573,-0.024459599,0.781723,0.0012147503,0.7257544,-0.014414482,0.70311797,-0.01473496,0.7998695,-0.029180441,0.88672197
8,0.0037997505,0.55775917,0.0092024505,0.8967485,-0.001760213,0.6910302,0.0067500053,0.7844486,0.0005184272,0.724866,0.039341833,0.70753014,-0.0062653515,0.7929839,0.0,0.8849727
9,-0.0066235955,0.5686573,-0.015197125,0.8959048,0.008064382,0.69131786,-0.02586176,0.7855382,-0.0008654032,0.7224103,-0.016250094,0.7136636,-0.022370799,0.78237504,-0.035838813,0.88188326
10,0.00095179764,0.5708289,-0.006173652,0.894323,-8.377512e-05,0.69255066,0.016715508,0.78384995,-0.0025983774,0.73026323,0.011280983,0.7093566,0.008944867,0.76875955,0.009592976,0.8680556
11,0.0014280971,0.5718417,0.0015536178,0.8926411,-0.0017507578,0.6936264,-0.016440693,0.78379005,-0.002432341,0.739576,-0.00039912283,0.71386635,-0.00041296426,0.77144974,0.0035626243,0.8701767
12,-0.0009512923,0.5727886,0.013953476,0.89001966,0.0018377574,0.6940902,0.0,0.78193754,0.00052260875,0.740916,-0.009565214,0.716388,0.0,0.77052975,0.022484941,0.870406
13,0.008323231,0.57340384,0.0030572913,0.88821566,0.00066669943,0.69427884,-0.010816684,0.77973247,0.0106166005,0.7418415,-0.0016098644,0.7154735,-0.00453753,0.76984596,0.0,0.8733116
14,0.03537798,0.575446,0.033537325,0.8878348,-0.0009172382,0.69464314,0.030815607,0.77594703,0.006888741,0.74509764,0.014912818,0.7167994,-0.008496118,0.76778406,0.025463525,0.8724689
15,0.023689782,0.5839685,0.02212381,0.88843584,0.01592136,0.6945777,0.05014433,0.77633286,0.009405298,0.74855185,-0.0027795965,0.7139956,0.003135826,0.76399386,0.03498826,0.87169755
16,-0.008677301,0.59395266,0.0057716523,0.8888888,0.00049162237,0.6974444,-0.008263942,0.77769697,-0.0018627095,0.75430244,-0.009159961,0.72017604,-0.016666835,0.7644392,-0.0043623447,0.8737134
17,-0.0029188576,0.60002416,0.0043041594,0.88948715,8.24424e-05,0.699594,0.013888884,0.778191,0.0010175302,0.758095,-0.00200915,0.72452396,0.04682181,0.7583127,-0.012047361,0.8754343
18,-0.011031435,0.6057669,-0.03142815,0.89435714,-0.0026245015,0.7019966,-0.024657229,0.77943087,-0.0028821311,0.7617363,0.002416658,0.7257254,0.009107725,0.768015,-0.0077605294,0.8736874
19,0.003187547,0.6060888,0.0014745679,0.9011846,-0.0023009703,0.70408607,-0.012172506,0.7868797,0.0032316234,0.7622129,0.0036156185,0.7262418,0.021961058,0.7692386,0.0078212265,0.8721472
20,-0.006579831,0.6090149,-0.0014723968,0.90355325,0.060980342,0.7054651,0.0018954254,0.78929055,0.001695009,0.76470697,0.0060047396,0.7268634,0.0018647759,0.7687469,-0.001109312,0.8670424
21,-0.0020556236,0.61115414,-0.011799758,0.9034887,-0.0017083328,0.718279,-0.010407273,0.7898031,0.0025382112,0.7681438,0.023478357,0.7289816,-0.0021545084,0.755581,-0.004439812,0.8729589
22,0.0004573814,0.6115188,0.014924938,0.90049314,0.0042781406,0.72408307,0.0019130578,0.78795576,0.0052327653,0.7710275,0.02138436,0.73217285,0.009225949,0.7620168,0.034560382,0.87678105
23,0.016242793,0.6111728,-0.0117639275,0.90166485,0.009374501,0.72730005,-0.015267709,0.7868116,-0.00016839332,0.7732147,0.024742322,0.74049884,-0.0068080095,0.75742483,-0.0053877523,0.88689184
24,-0.0011246142,0.61460006,0.011903965,0.90002036,0.009517461,0.7322887,-0.0009694652,0.78378797,-0.002854618,0.77443373,-0.004085931,0.75729936,-0.008617902,0.7540011,-0.010834997,0.8964704
25,0.01577604,0.615405,-0.0014701653,0.9014941,0.0038777136,0.73842764,-0.016004004,0.7825339,0.0062323706,0.7745344,-0.010071305,0.75939286,-0.013432856,0.74594104,-0.013143308,0.8947021
26,0.00022164026,0.61871105,0.0117823845,0.9021314,0.0028777388,0.7411984,0.018236756,0.7819352,0.0036819235,0.7758986,0.013188396,0.76001495,0.0070084054,0.7481891,0.02441792,0.8931378
27,-0.001109788,0.62105334,0.0,0.90377617,-0.0022652338,0.74371314,0.004840268,0.78182983,0.004336216,0.77756894,0.01673466,0.76492035,-0.0005967673,0.7476301,0.0064998902,0.89699745
28,0.009549046,0.6229582,0.01892242,0.9073434,0.008854668,0.745093,0.020230418,0.7820159,0.0033220206,0.78007734,-0.0058528287,0.7713334,-0.017508734,0.74753994,0.017222874,0.90502524
29,-0.0096784625,0.62752444,-0.015714627,0.9135794,0.012978999,0.74925506,-0.012275964,0.78245455,0.00016473165,0.7840604,-0.0062546367,0.771502,-0.005872436,0.74647146,0.0074074096,0.9135594
30,0.013994689,0.63132477,0.0043541365,0.9247018,0.003629974,0.75507915,0.04015399,0.787255,0.0062889922,0.7867841,-0.01777055,0.7717458,0.00061127415,0.75018793,0.00630298,0.92775214
31,-0.010734193,0.6357219,0.010116307,0.93052804,-0.0012186125,0.759606,-0.007353236,0.7903578,-0.0018091828,0.7903593,0.0052763047,0.7673954,-0.0014250313,0.75710833,0.013569246,0.94181895
32,-0.0013291166,0.6346138,-0.017167306,0.93462014,0.0027709915,0.76089925,-0.005556006,0.7906148,-0.0018124619,0.7912115,-0.0063742422,0.7681267,0.012435655,0.7601429,0.004119744,0.9483005
33,0.008869646,0.6345288,0.008733552,0.93084735,0.007221264,0.7631333,-0.0074490937,0.7917054,0.0077570537,0.79176086,0.0026424804,0.7673534,0.009262816,0.7682631,0.0041028415,0.950602
34,0.010550039,0.6355575,-0.007215352,0.9299482,0.0029988019,0.7664461,0.004690434,0.7935642,0.0042580976,0.79375565,-0.012420669,0.7681065,-0.006384446,0.7707454,0.0051070834,0.9532276
35,-0.012397166,0.63823617,-0.07122043,0.9285512,-0.004230238,0.7692819,0.045752414,0.7966236,0.0011411487,0.7963981,-0.02934431,0.76746535,-0.010842884,0.7737298,0.0,0.95850563
36,0.0030835602,0.6372025,0.079812,0.9068773,0.0009526809,0.78235424,0.007143073,0.8072053,-0.0060260086,0.7980597,0.0060858806,0.7656764,0.009947272,0.7731017,-0.009146449,0.9597404
37,0.0035112586,0.6375637,-0.010145623,0.90666443,0.0019757268,0.7840798,0.01861629,0.81524837,-0.0031141278,0.7981987,0.017756255,0.7699012,0.027134918,0.7723336,0.0041028415,0.9572788
38,-0.0010929713,0.63889617,-0.014640868,0.9073025,0.00043758802,0.78724325,-0.010443654,0.8237648,-0.0034523273,0.79851425,-0.015721831,0.7733746,-0.02446226,0.77202,-0.013279238,0.9646685
39,0.012702926,0.6408636,0.04903409,0.9073262,0.020440163,0.79089445,0.016710142,0.82371974,0.009568145,0.7981,-0.051810898,0.7732333,0.010633114,0.77133846,-0.0062105614,0.9598477
40,-0.006488671,0.64311945,0.007082494,0.908111,-0.0059381463,0.7997994,-0.01211024,0.83149123,-0.013889671,0.7994443,-0.056285456,0.7639427,-0.011711225,0.77111065,-0.034375772,0.9561528
41,-0.0006524236,0.64460355,-0.007032685,0.90930736,0.0059013492,0.80076754,-0.004378284,0.8297377,0.0,0.7990762,-0.0069663166,0.7544604,-0.010644563,0.77075064,0.012945863,0.9452231
42,-0.0058808536,0.6450428,-0.014163959,0.9131776,-0.0031483355,0.8040153,-0.009675012,0.8312388,0.0004973226,0.7990481,-0.012275066,0.74139696,0.004263105,0.7702358,0.008519236,0.9512397
43,0.0019719445,0.64465547,0.0028728652,0.91846275,0.0012926229,0.80483454,-0.02131389,0.8297448,0.0029809824,0.79919064,-0.0017756384,0.72254205,0.00020179202,0.7693677,-0.011615914,0.9530878
44,0.0054669273,0.6453295,-0.0014323178,0.9245386,-0.0037276244,0.8082509,-0.011797028,0.82609975,-0.0023109396,0.79954773,-0.005336298,0.6999388,-0.007881767,0.7681463,-0.014957206,0.9562514
45,-0.0008708108,0.64546,0.0028697872,0.9247072,-0.0023012906,0.8102313,-0.0045912946,0.8219853,-0.0052966136,0.7993698,0.005364927,0.6949315,-0.0040745954,0.76779324,-0.0021693774,0.9515852
46,0.0008715698,0.6466159,0.012875528,0.92628413,0.003316924,0.81059724,0.0018447185,0.82831943,0.0076534436,0.7990623,0.0062256963,0.6961895,0.002761501,0.7676109,-0.004346997,0.95138204
